Year,by types of economic activity,by the organisational and legal forms,Region,Number of employees,Value
2015,activities of amusement parks and theme parks,,,,
2016,activities of amusement parks and theme parks,,,,
2017,activities of amusement parks and theme parks,,,,
2018,activities of amusement parks and theme parks,,,,
2019,activities of amusement parks and theme parks,,,,
2020,activities of amusement parks and theme parks,,,,
2021,activities of amusement parks and theme parks,,,,35.3
2022,activities of amusement parks and theme parks,,,,38.2
2023,activities of amusement parks and theme parks,,,,39.0
2024,activities of amusement parks and theme parks,,,,41.3
2015,other amusement and recreation activities,,,,
2016,other amusement and recreation activities,,,,
2017,other amusement and recreation activities,,,,
2018,other amusement and recreation activities,,,,
2019,other amusement and recreation activities,,,,
2020,other amusement and recreation activities,,,,
2021,other amusement and recreation activities,,,,48.2
2022,other amusement and recreation activities,,,,51.5
2023,other amusement and recreation activities,,,,53.0
2024,other amusement and recreation activities,,,,53.2
2015,activities of organizations of industrialists and entrepreneurs,,,,
2016,activities of organizations of industrialists and entrepreneurs,,,,
2017,activities of organizations of industrialists and entrepreneurs,,,,
2018,activities of organizations of industrialists and entrepreneurs,,,,
2019,activities of organizations of industrialists and entrepreneurs,,,,
2020,activities of organizations of industrialists and entrepreneurs,,,,
2021,activities of organizations of industrialists and entrepreneurs,,,,18.0
2022,activities of organizations of industrialists and entrepreneurs,,,,17.8
2023,activities of organizations of industrialists and entrepreneurs,,,,17.5
2024,activities of organizations of industrialists and entrepreneurs,,,,17.6
2015,activities of professional public organizations,,,,
2016,activities of professional public organizations,,,,
2017,activities of professional public organizations,,,,
2018,activities of professional public organizations,,,,
2019,activities of professional public organizations,,,,
2020,activities of professional public organizations,,,,
2021,activities of professional public organizations,,,,32.0
2022,activities of professional public organizations,,,,32.4
2023,activities of professional public organizations,,,,32.7
2024,activities of professional public organizations,,,,32.8
2015,activities of trade unions,,,,
2016,activities of trade unions,,,,
2017,activities of trade unions,,,,
2018,activities of trade unions,,,,
2019,activities of trade unions,,,,
2020,activities of trade unions,,,,
2021,activities of trade unions,,,,62.4
2022,activities of trade unions,,,,62.3
2023,activities of trade unions,,,,62.4
2024,activities of trade unions,,,,62.4
2015,activities of religious organizations,,,,
2016,activities of religious organizations,,,,
2017,activities of religious organizations,,,,
2018,activities of religious organizations,,,,
2019,activities of religious organizations,,,,
2020,activities of religious organizations,,,,
2021,activities of religious organizations,,,,4.5
2022,activities of religious organizations,,,,4.6
2023,activities of religious organizations,,,,4.9
2024,activities of religious organizations,,,,5.2
2015,activities of political organizations,,,,
2016,activities of political organizations,,,,
2017,activities of political organizations,,,,
2018,activities of political organizations,,,,
2019,activities of political organizations,,,,
2020,activities of political organizations,,,,
2021,activities of political organizations,,,,22.8
2022,activities of political organizations,,,,22.2
2023,activities of political organizations,,,,22.2
2024,activities of political organizations,,,,22.4
2015,"activities of other public organizations, n.e.c.",,,,
2016,"activities of other public organizations, n.e.c.",,,,
2017,"activities of other public organizations, n.e.c.",,,,
2018,"activities of other public organizations, n.e.c.",,,,
2019,"activities of other public organizations, n.e.c.",,,,
2020,"activities of other public organizations, n.e.c.",,,,
2021,"activities of other public organizations, n.e.c.",,,,29.1
2022,"activities of other public organizations, n.e.c.",,,,29.4
2023,"activities of other public organizations, n.e.c.",,,,29.8
2024,"activities of other public organizations, n.e.c.",,,,30.3
2015,repair of computers and peripheral equipment,,,,
2016,repair of computers and peripheral equipment,,,,
2017,repair of computers and peripheral equipment,,,,
2018,repair of computers and peripheral equipment,,,,
2019,repair of computers and peripheral equipment,,,,
2020,repair of computers and peripheral equipment,,,,
2021,repair of computers and peripheral equipment,,,,17.8
2022,repair of computers and peripheral equipment,,,,16.8
2023,repair of computers and peripheral equipment,,,,17.4
2024,repair of computers and peripheral equipment,,,,22.8
2015,repair of communication equipment,,,,
2016,repair of communication equipment,,,,
2017,repair of communication equipment,,,,
2018,repair of communication equipment,,,,
2019,repair of communication equipment,,,,
2020,repair of communication equipment,,,,
2021,repair of communication equipment,,,,12.7
2022,repair of communication equipment,,,,19.1
2023,repair of communication equipment,,,,20.0
2024,repair of communication equipment,,,,25.0
2015,repair of consumer electronics,,,,
2016,repair of consumer electronics,,,,
2017,repair of consumer electronics,,,,
2018,repair of consumer electronics,,,,
2019,repair of consumer electronics,,,,
2020,repair of consumer electronics,,,,
2021,repair of consumer electronics,,,,16.5
2022,repair of consumer electronics,,,,15.2
2023,repair of consumer electronics,,,,22.8
2024,repair of consumer electronics,,,,21.7
2015,repair of household appliances and home and garden equipment,,,,
2016,repair of household appliances and home and garden equipment,,,,
2017,repair of household appliances and home and garden equipment,,,,
2018,repair of household appliances and home and garden equipment,,,,
2019,repair of household appliances and home and garden equipment,,,,
2020,repair of household appliances and home and garden equipment,,,,
2021,repair of household appliances and home and garden equipment,,,,14.8
2022,repair of household appliances and home and garden equipment,,,,12.8
2023,repair of household appliances and home and garden equipment,,,,12.3
2024,repair of household appliances and home and garden equipment,,,,14.0
2015,repair of footwear and leather goods,,,,
2016,repair of footwear and leather goods,,,,
2017,repair of footwear and leather goods,,,,
2018,repair of footwear and leather goods,,,,
2019,repair of footwear and leather goods,,,,
2020,repair of footwear and leather goods,,,,
2021,repair of footwear and leather goods,,,,58.3
2022,repair of footwear and leather goods,,,,55.6
2023,repair of footwear and leather goods,,,,56.2
2024,repair of footwear and leather goods,,,,50.0
2015,repair of furniture and home furnishings,,,,
2016,repair of furniture and home furnishings,,,,
2017,repair of furniture and home furnishings,,,,
2018,repair of furniture and home furnishings,,,,
2019,repair of furniture and home furnishings,,,,
2020,repair of furniture and home furnishings,,,,
2021,repair of furniture and home furnishings,,,,19.1
